#{"t_start": 1725717948.791187, "env_id": null}
r,l,t
0.0,4,5.51749
0.0,5,5.525133
0.0,5,5.532585
0.0,5,5.539649
0.0,5,5.546679
0.0,5,5.553723
0.0,14,5.572102
0.0,3,5.576685
0.0,5,5.583731
0.0,3,5.588338
0.0,5,5.59542
0.0,5,5.603005
0.0,9,5.615239
0.0,5,5.622328
0.0,5,5.629441
0.0,4,5.635327
0.0,3,5.63989
0.0,4,5.64597
0.0,5,5.653142
0.0,3,5.657751
0.0,6,5.666031
0.0,5,5.673519
0.0,5,5.680683
0.0,5,5.687807
0.0,5,5.695074
0.0,5,5.702118
0.0,5,5.70935
0.0,5,5.716395
0.0,4,5.722219
0.0,3,5.726859
0.0,3,5.732102
0.0,5,5.73975
0.0,7,5.75015
0.0,4,5.756149
0.0,5,5.763245
0.0,5,5.770342
0.0,5,5.77747
0.0,3,5.782025
0.0,5,5.789087
0.0,17,5.811242
0.0,5,5.818342
0.0,3,5.823414
0.0,5,5.830654
0.0,6,5.839117
0.0,3,5.843743
0.0,4,5.849587
1.0,300,6.224477
0.0,4,6.230517
1.0,300,6.604757
0.0,5,6.611905
0.0,4,6.617715
0.0,5,6.625367
0.0,3,6.630401
0.0,4,6.636432
0.0,192,7.678154
0.0,5,7.685526
0.0,5,7.692631
0.0,37,7.739267
0.0,9,7.751405
0.0,5,7.758808
1.0,300,8.13114
0.0,5,8.139086
0.0,5,8.146672
0.0,4,8.152629
0.0,33,8.194524
0.0,3,8.199186
0.0,72,8.288723
0.0,43,8.343323
0.0,6,8.351781
0.0,9,8.364876
0.0,5,8.372136
0.0,5,8.380292
0.0,3,8.385469
0.0,5,8.392734
0.0,4,8.398651
0.0,5,8.405905
0.0,5,8.413008
0.0,5,8.42005
1.0,300,8.793153
0.0,3,8.797963
0.0,3,8.802623
0.0,5,8.810287
0.0,5,8.818093
0.0,5,8.825271
0.0,120,8.975221
0.0,8,8.985957
0.0,5,8.99305
1.0,300,9.367368
0.0,5,9.374774
0.0,5,9.381974
0.0,5,9.389072
0.0,3,9.394363
0.0,5,9.402094
0.0,4,9.408027
0.0,5,9.415217
0.0,5,9.42233
1.0,300,9.796051
1.0,300,10.977487
0.0,4,10.983654
0.0,5,10.990882
0.0,5,10.997978
0.0,4,11.004374
0.0,5,11.011896
0.0,5,11.019073
0.0,5,11.026251
0.0,5,11.033354
0.0,5,11.04053
0.0,5,11.047661
0.0,5,11.054734
0.0,5,11.061818
0.0,5,11.068997
0.0,5,11.076568
0.0,222,11.354271
0.0,4,11.360411
0.0,5,11.367627
0.0,3,11.372305
0.0,5,11.379471
0.0,5,11.386652
0.0,26,11.420408
0.0,5,11.427573
0.0,4,11.433394
0.0,3,11.438565
0.0,4,11.445167
0.0,5,11.452377
0.0,5,11.45955
0.0,5,11.466635
0.0,5,11.47387
0.0,5,11.481019
0.0,49,11.543158
0.0,5,11.550241
0.0,5,11.557337
1.0,300,11.925573
0.0,157,12.122626
0.0,5,12.130809
0.0,5,12.138156
0.0,5,12.146677
0.0,5,12.154013
0.0,4,12.160043
0.0,157,12.358779
0.0,177,12.578909
1.0,300,12.949108
0.0,4,12.955847
0.0,5,12.963628
0.0,4,12.969597
0.0,5,12.976756
0.0,5,12.983957
0.0,5,12.991019
0.0,4,12.996902
0.0,5,13.003974
0.0,5,13.011107
0.0,5,13.018235
0.0,5,13.025752
0.0,156,13.220493
0.0,5,13.227839
1.0,300,14.413628
1.0,300,14.785634
0.0,3,14.790364
0.0,83,14.895126
0.0,5,14.902264
0.0,5,14.909551
0.0,5,14.916689
1.0,300,15.28661
0.0,6,15.295612
1.0,300,15.669953
0.0,5,15.677422
0.0,4,15.683333
0.0,5,15.690445
0.0,5,15.697557
0.0,3,15.702186
0.0,5,15.709365
0.0,3,15.713974
0.0,5,15.721778
0.0,5,15.729441
0.0,4,15.735449
0.0,3,15.74013
0.0,5,15.747311
0.0,5,15.754346
0.0,5,15.761473
1.0,300,16.135946
0.0,4,16.142023
0.0,142,16.318324
0.0,5,16.326009
1.0,300,16.699263
0.0,5,16.706648
0.0,5,16.713837
0.0,5,16.720943
0.0,5,16.728074
0.0,5,16.735259
0.0,5,16.742447
0.0,7,16.751935
0.0,4,16.757851
0.0,3,16.763154
0.0,16,16.784805
0.0,5,16.792058
0.0,5,16.799194
0.0,5,16.806453
1.0,300,17.994159
0.0,4,18.000338
0.0,5,18.00759
0.0,4,18.013514
0.0,3,18.018205
0.0,23,18.048439
0.0,5,18.056228
0.0,5,18.063493
0.0,5,18.070694
0.0,5,18.077866
1.0,300,18.448579
0.0,4,18.454748
1.0,300,18.825706
0.0,4,18.831695
0.0,41,18.88347
0.0,5,18.891143
0.0,143,19.069251
0.0,3,19.073925
0.0,3,19.078512
0.0,3,19.083287
0.0,5,19.090464
0.0,5,19.098238
0.0,5,19.105701
0.0,3,19.110427
0.0,3,19.115242
0.0,5,19.123131
0.0,39,19.173381
0.0,4,19.179211
0.0,5,19.186277
0.0,5,19.193421
0.0,5,19.200461
0.0,3,19.205068
0.0,5,19.212123
0.0,5,19.21918
0.0,5,19.226254
0.0,5,19.233817
1.0,300,19.605944
0.0,5,19.613298
0.0,3,19.617877
0.0,3,19.622478
0.0,4,19.628437
0.0,3,19.6331
0.0,4,19.639002
0.0,5,19.646109
1.0,300,20.017193
0.0,5,20.025122
0.0,4,20.031576
0.0,5,20.038839
0.0,5,20.046025
0.0,3,20.050656
0.0,4,20.056476
1.0,300,21.248442
1.0,300,21.618355
1.0,300,21.98786
0.0,5,21.995212
0.0,4,22.001725
0.0,5,22.009219
