#{"t_start": 1725716920.5609028, "env_id": null}
r,l,t
0.0,5,5.299159
0.0,5,5.303617
0.0,75,5.349942
0.0,40,5.375058
0.0,4,5.378532
0.0,38,5.402399
0.0,122,5.477167
0.0,5,5.481227
0.0,5,5.485196
0.0,99,5.545893
0.0,5,5.550027
0.0,268,5.712034
0.0,5,5.71664
0.0,5,5.720657
0.0,5,5.724607
0.0,5,5.728636
0.0,5,5.732654
0.0,4,5.736008
0.0,3,5.738861
0.0,5,5.742895
0.0,5,5.746908
0.0,5,5.751303
0.0,5,5.755446
0.0,5,5.759436
0.0,160,5.855872
0.0,210,6.001602
1.0,300,6.233168
0.0,5,6.240038
0.0,4,6.244029
0.0,5,6.248661
0.0,11,6.258465
0.0,185,6.383981
0.0,5,6.389034
0.0,196,7.451403
0.0,3,7.45582
0.0,5,7.46031
0.0,3,7.464343
0.0,5,7.470959
0.0,5,7.475827
0.0,4,7.479335
0.0,5,7.483437
0.0,95,7.550637
0.0,5,7.555464
0.0,5,7.560652
0.0,5,7.565437
0.0,20,7.581183
0.0,3,7.584478
0.0,5,7.58954
0.0,5,7.594297
0.0,222,7.735961
1.0,300,7.947703
0.0,5,7.952815
0.0,5,7.957754
0.0,5,7.962133
0.0,5,7.966606
0.0,5,7.971763
0.0,40,7.998075
0.0,4,8.001697
0.0,255,8.168521
0.0,5,8.173379
0.0,134,8.270257
0.0,5,8.275189
0.0,130,8.363916
0.0,5,8.36971
0.0,4,8.373924
0.0,173,8.492166
0.0,5,8.496453
0.0,5,8.500823
0.0,5,8.5052
0.0,3,8.507984
0.0,221,8.657057
0.0,4,8.661348
0.0,149,8.763417
0.0,5,8.767388
0.0,247,9.845724
0.0,23,9.862605
0.0,5,9.867992
0.0,5,9.872513
0.0,5,9.876689
0.0,5,9.880694
1.0,300,10.084589
0.0,5,10.090728
0.0,4,10.09558
0.0,5,10.101965
1.0,300,10.312216
0.0,177,10.433848
0.0,5,10.438731
0.0,3,10.441813
0.0,5,10.446296
0.0,195,10.581505
0.0,4,10.586191
0.0,5,10.591691
0.0,4,10.595865
0.0,5,10.600977
0.0,3,10.605374
0.0,5,10.609964
1.0,300,10.823835
0.0,172,10.940815
0.0,5,10.945057
1.0,300,11.126264
0.0,146,12.105427
0.0,5,12.111125
1.0,300,12.358286
0.0,5,12.363671
0.0,3,12.36727
0.0,5,12.373501
0.0,154,12.496636
0.0,3,12.500156
0.0,5,12.507094
0.0,22,12.524755
0.0,99,12.599708
0.0,4,12.60629
0.0,5,12.610925
0.0,5,12.615052
0.0,53,12.652838
0.0,5,12.657312
0.0,272,12.836361
0.0,5,12.84053
0.0,5,12.844602
0.0,5,12.848599
0.0,5,12.852588
0.0,5,12.857497
0.0,5,12.862144
0.0,5,12.866302
0.0,5,12.870649
1.0,300,13.052012
0.0,4,13.055627
0.0,11,13.064047
0.0,5,13.068609
0.0,155,13.164816
0.0,95,13.223478
0.0,5,13.228246
0.0,5,13.232726
0.0,5,13.236763
0.0,221,13.369356
0.0,5,13.373425
0.0,3,13.376298
0.0,152,14.391413
1.0,300,14.575978
0.0,149,14.667065
0.0,167,14.768619
0.0,85,14.820875
0.0,106,14.88586
0.0,138,14.969022
1.0,300,15.151634
0.0,176,15.257573
0.0,112,15.324934
0.0,208,15.448317
0.0,5,15.452352
1.0,300,16.470614
0.0,221,16.603196
0.0,5,16.607962
0.0,5,16.612577
0.0,5,16.616643
0.0,5,16.620621
1.0,300,16.801836
0.0,5,16.805955
0.0,27,16.823673
1.0,300,17.004384
0.0,4,17.007995
